iter	Logloss
0	0.4239658438
1	0.2734556345
2	0.1882824926
3	0.1238337905
4	0.08184888424
5	0.05485957102
6	0.03936825441
7	0.02710374287
8	0.01983252109
9	0.01496824767
10	0.01141241495
11	0.008778774806
12	0.00690634661
13	0.00568373992
14	0.004665735313
15	0.003833436931
16	0.003306537306
17	0.00286510642
18	0.002451506129
19	0.002102629785
20	0.001841616239
21	0.001674090595
22	0.001484099293
23	0.001384979343
24	0.001235945481
25	0.001117581651
26	0.001005494305
27	0.0009303606228
28	0.0008727670313
29	0.0008228910677
30	0.0007657494684
31	0.0007219972961
32	0.000680633908
33	0.0006336587195
34	0.0005855801833
35	0.0005855775181
36	0.0005855501077
37	0.0005855602425
38	0.0005855202934
39	0.0005854921462
40	0.0005496070836
41	0.0005495831421
42	0.0005495831421
43	0.0005201381739
44	0.0005201381739
45	0.0004867851494
46	0.0004867819658
47	0.0004867468675
48	0.0004867468675
49	0.0004867428496
50	0.0004867078083
51	0.0004866695507
52	0.0004866695507
53	0.0004866695507
54	0.0004866619525
55	0.0004866448006
56	0.0004866101743
57	0.0004866168997
58	0.0004865512606
59	0.0004865392805
60	0.0004865244296
61	0.0004865053718
62	0.0004865117177
63	0.0004864613455
64	0.0004864613455
65	0.0004864613455
66	0.0004864461399
67	0.0004864386607
68	0.0004863935319
69	0.0004863709775
70	0.0004863709775
71	0.0004863734677
72	0.0004863620913
73	0.0004863198416
74	0.0004863198416
75	0.0004862793014
76	0.0004862295583
77	0.000453619689
78	0.0004536131287
79	0.0004536144191
80	0.0004536023319
81	0.00045358687
82	0.0004535909703
83	0.0004535757412
84	0.000453582791
85	0.000453582791
86	0.0004535719852
87	0.0004535719852
88	0.0004535517987
89	0.0004535517987
90	0.0004535610045
91	0.0004535204796
92	0.000453496138
93	0.0004534991937
94	0.0004534849555
95	0.0004534878182
96	0.0004534670485
97	0.0004534670485
98	0.0004534670485
99	0.0004534561023
